#Define which features will be assigned values in an annotation type ("Concept" in this case)
@CONCEPT_FEATURES|PE|Negation|Certainty|Temporality|Experiencer|ImpressionCertainty|DiagnosticMention|Acute|Chronic|Left|Right|ArteryMain|ArteryInterlobar|ArteryLobar|ArterySegmental|ArterySubSegmental
@CONCEPT_FEATURES|PE_Site|Negation|Certainty|Temporality|Experiencer|ImpressionCertainty|DiagnosticMention|Left|Right|ArteryMain|ArteryInterlobar|ArteryLobar|ArterySegmental|ArterySubSegmental


#Define the values that a feature can have, the 1st value is the default value
#The following definitions will be used as an index for FastContext to find the corresponding Feature to assign the modifier
#value, once a modifier value is available.
#In this case the 'Negation' feature has two values: 'affirm' and 'negated', 'affirm' is the default value.
@FEATURE_VALUES|Negation|affirm|negated
@FEATURE_VALUES|Certainty|certain|uncertain
#Views of the femoral vein in the distal thigh and the tibial veins in most of the left calf are compromised due to restricted patient positioning and  pain.
compromised due to restricted|both|trigger|imuncertain|30
compromised by restricted|both|trigger|imuncertain|30
cannot be obtained|both|trigger|imuncertain|30
could not be obtained|both|trigger|imuncertain|30
limited ct|both|trigger|imuncertain|30
is suboptimal|both|trigger|imuncertain|30
was suboptimal|both|trigger|imuncertain|30
not well evaluated|both|trigger|imuncertain|30


subsegmental|both|trigger|subseg_yes|30
segmental|both|trigger|seg_yes|30
lobar artery|both|trigger|lobar_yes|30
lobelo|both|trigger|lobar_yes|30
interlobar|both|trigger|inter_yes|30
inter lobar|both|pseudo|lobar_yes|30
inter \w+ lobar|both|pseudo|lobar_yes|30
main artery|both|trigger|main_yes|30
main arteries|both|trigger|main_yes|30
main \w+ artery|both|trigger|main_yes|30
main \w+ arteries|both|trigger|main_yes|30
left|both|trigger|left_yes|30
right|both|trigger|right_yes|30
#left artery|both|trigger|left_yes|30
#right artery|both|trigger|right_yes|30
#left \w+ artery|both|trigger|left_yes|30
#right \w+ artery|both|trigger|right_yes|30
#left \w+ arteries|both|trigger|left_yes|30
#right \w+ arteries|both|trigger|right_yes|30
bilateral|both|trigger|right_yes|30
bilateral|both|trigger|left_yes|30
both sides|both|trigger|left_yes|30
both sides|both|trigger|right_yes|30


acute|forward|trigger|acute|8
chronic|forward|trigger|chronic|8
chronic|forward|trigger|acut_no|8

are absent|backward|trigger|negated|30
is absent|backward|trigger|negated|30
aorta|both|trigger|no|10


#Small residual filling defects in a branch to right upper lobe and right lower lobe posterior basal branch where previous pulmonary emboli were seen and could represent chronic emboli at this time.
previous|forward|trigger|historical|2
residual|forward|trigger|chronic|2

#There is a filling defect spanning the bifurcation of the pulmonary trunk consistent with a nonocclusive saddle embolus.
saddle|forward|trigger|main_yes|2

#...consistent with low likelihood ratio of pulmonary embolism.
low likelihood|forward|trigger|negated|30

#Depending on the overall level of suspicion for pulmonary embolism, further evaluation may be performed

#Focal pulmonary hemorrhage from pulmonary embolism may produce such an opacity.
may produce|backward|trigger|unimcertain|10
